Titulo,TEMA,LINK,Fecha
Primera Reunión - Tony Serrano,Método,https://youtu.be/ccnpLcljS1M,18/11/2021
"Abordaje en frio Bedoya, Radic, España",Método,https://youtu.be/Oc6usrPW8s0,02/12/2021
Crosselling de cartera + Combo vida ahorro (Gallo y Guyot),Método,https://youtu.be/WZCH_Q8AyDM,06/01/2022
INDAGACIÓN: Maru Clavería (Engagement Zurich),Método,https://youtu.be/Qst8i18JFK0,07/04/2022
Manejo de Objeciones a cargo de Jimmy Sivautt,Método,https://youtu.be/vuUSg1VVG1Y,05/05/2022
Taller de Primera Entrevista a cargo de Sebastián Viltie,Método,https://youtu.be/9tfWmZd58Jk,02/06/2022
ESTRATEGIA Y EJECUCIÓN DE LLAMADOS EN FRIO - Daniela Gallo,Método,https://youtu.be/rTbLxaL6u6I,08/09/2022
Clínica de 2da. - Entrevista con Quique Zeppa y Maximiliano Cena,Método,https://youtu.be/JRuith995vI,06/10/2022
LLAMADOS DE DEFINICIÓN Con Jimmy y Carlos,Método,https://www.youtube.com/watch?v=0jE2nCHpqs8,01/12/2022
MANEJO DE OBJECIONES a cargo de Eugenia Zalesky,Método,https://youtu.be/39ls1i2j3gM,04/05/2023
SEGUNDA ENTREVISTA (inducción) a cargo de Tony Serrano,Método,https://www.youtube.com/watch?v=L_KANij146A,04/10/2023
CLÍNICA DE CIERRE - con Carlos Malara,Método,https://youtu.be/DlJOUx-xU5k,05/10/2023
CLINICA DE CIERRE - con Jimmy Sivautt,Método,https://www.youtube.com/watch?v=DUGWDwzS7Uk&feature=youtu.be,05/09/2024
,,,
1ra Entrevista - Roberti-Vecchioni,Role Play,https://youtu.be/9VDUyfNYbOk,01/09/2022
2da Entrevista y Cierre - Roberti-Vecchioni,Role Play,https://youtu.be/pBGnZvFvVjk,01/09/2022
1ra Entrevista: RODRIGO BARQUIZA,Role Play,https://youtu.be/t7ez0Z3clww,03/03/2022
2da Entrevista y Cierre: GISELLE BABA,Role Play,https://youtu.be/YxvHEStQw1E,01/09/2022
1ra Entrevista:  Tony Serrano,Role Play,https://youtu.be/3k9FM1zFBX4,01/09/2022
1ra Entrevista: Gaston Ibarbalz,Role Play,https://youtu.be/bnN-81_jdbU,01/09/2022
1ra. Entrevista: Jimmy Sivautt,Role Play,https://youtu.be/UX0zXxbPkAg,01/09/2022
1ra. Entrevista: Catalina Senecky,Role Play,https://youtu.be/G5G7kIWawio,09/03/2023
2.da Entrevista y Cierre: Catalina Senecky,Role Play,https://youtu.be/pQXkzg1Hwks,11/02/2021
2da. ENTREVISTA | Con Sebastián Viltie,Role Play,https://youtu.be/HdqJZE-p2sI,11/02/2021
1ra. Entrevista | Con Sebastian Viltie,Role Play,https://youtu.be/s64oLfGimmE,01/06/2023
ROLE PLAY 1ra. ENTREVISTA - con Santiago Amatriain,Role Play,,
ROLE PLAY 1ra. ENTREVISTA - con facundo saparrat,Role Play,https://www.youtube.com/watch?v=yCUDxI6ljhk&feature=youtu.be,08/04/2024
ROLE PLAY 1ra entrevista - con Rodrigo Barquiza,Role Play,https://youtu.be/maa-ZL5Qm1E,11/02/2021
,,,
Transformación Digital - Agencia BrandPr,Mktg Digital,https://www.youtube.com/watch?v=9VOJSJbURj8,11/02/2021
Capacitacion Estrategia Digital Gabriel Bagattini,Mktg Digital,https://youtu.be/2vKAVsj6LHU,03/06/2021
Como aprovechar los contenidos - Agencia BrandPr,Mktg Digital,https://youtu.be/QQK9xCWWeEA,02/09/2021
Transformación Digital Personal -  Agencia BrandPr,Mktg Digital,https://youtu.be/hgmGjgmWWzA,11/02/2021
Metodo de Negocio - Camila Ibarbalz,Mktg Digital,https://www.youtube.com/watch?v=u6xh0wMCB0M,11/02/2021
,,,
Seguros Societarios y Corporativos,Producto,https://youtu.be/-K_-M10JqAY,11/02/2021
SEGUROS SOCIETARIOS,Producto,https://youtu.be/VdIcsdgCtlU,09/09/2021
SEGUROS SOCIETARIOS | A cargo de Martin Tricio,Producto,https://youtu.be/yTgs5WbZ6Qw,04/08/2022
Seguros Societarios - A cargo de Martin Tricio,Producto,https://www.youtube.com/watch?v=R6Nu5wIdgQg,03/08/2023
Negocios Corportativos | Gonzalo Terrazas,Producto,https://youtu.be/DQ8jhtImpoo,11/02/2021
,,,
Venta Seguro de Vida: Chikki Ekkizian,Vida,https://www.youtube.com/watch?v=Uzk_w763orM,11/02/2021
Capacitación Gastón Ibarbalz,Vida,https://youtu.be/G13bwu374M4,11/02/2021
Capacitación Andrea Molinari,Vida,https://youtu.be/FGaqYsO6xJg,11/02/2021
La importancia de la PROTECCIÓN FAMILIAR: Juan Pablo Rouge,Vida,https://youtu.be/63oGh7y4RAk,11/04/2023
VISITA GABRIELA FARB,Vida,https://youtu.be/cQirTWJNX_0,11/04/2023
Venta de Protección con Daniela Fridman,Vida,https://youtu.be/FdE-AUURCXQ,11/04/2023
Venta Grandes Seguros de Vida: Agustín Dondo,Vida,https://youtu.be/-6HPnhha3Ik,11/04/2023
CROSSELLING con Rodrigo Barquiza,Vida,https://youtu.be/DQImXqsSqDM,05/01/2023
Arranque Rapido: Tony Serrano,Vida,https://www.youtube.com/watch?v=2cu4K_xsZq4&feature=youtu.be,11/04/2023
Casos de éxito con Manuel Serrano y Andres Geirola + José,Vida,https://www.youtube.com/watch?v=Xb2ONGeM8Jg,02/02/2023
SEGUROS ALTAS PRIMAS - Clientes Premium con A.Dondo,Vida,https://www.youtube.com/watch?v=S6mmZ5yGdLs,11/04/2023
Beneficios Corportativos con Eugenia Zalesky,Vida,https://youtu.be/bXZQqHFACQg,11/04/2023
CROSSELLING DE CUENTAS  DE INVERSIÓN Y ADVANCE - Christopher Davel,Vida,https://www.youtube.com/watch?v=oHFEE_VR-hs,11/04/2023
RETENCIÓN DE CARTERA con carlos malara,Vida,https://youtu.be/MZDmiwDx4_E,11/04/2023
,,,
Análisis de Competencia,Zurich,https://youtu.be/QUzPlaWq_Ww,05/11/2020
Herramienta DISC (Zurich): Maru Clavería,Zurich,https://youtu.be/83vCnPy_32Y,05/11/2020
CAPACITACIÓN ZURICH - Finanzas I,Zurich,https://youtu.be/FtuYBgSIqhI,05/11/2020
CAPACITACIÓN ZURICH - Finanzas II,Zurich,https://youtu.be/SLBAyQMrT-Q,05/11/2020
Capacitación Sinietros Zurich,Zurich,https://youtu.be/83z5RqoLSNo,01/07/2021
